datetime,species,block,treatment ,pot,height_cm,leaves_nodes,position
21/08/2018,corn,9,Tap ,26,144,10,North_South
21/08/2018,corn,9,Cashido ,27,156,11,North_South
21/08/2018,corn,10,Solari ,28,158,12,North_South
21/08/2018,corn,10,Tap ,29,140,10,North_South
21/08/2018,corn,10,Cashido ,30,136,10,North_South
31/08/2018,corn,1,Tap ,1,162,12,South_North
31/08/2018,corn,1,Solari ,2,166,12,South_North
31/08/2018,corn,1,Cashido ,3,174,13,South_North
31/08/2018,corn,2,Tap ,4,166,12,South_North
31/08/2018,corn,2,Solari ,5,164,10,South_North
31/08/2018,corn,2,Cashido ,6,164,11,South_North
31/08/2018,corn,3,Tap ,7,143,13,South_North
31/08/2018,corn,3,Solari ,8,148,13,South_North
31/08/2018,corn,3,Cashido ,9,182,13,South_North
31/08/2018,corn,4,Tap ,10,168,12,South_North
31/08/2018,corn,4,Solari ,11,158,11,South_North
31/08/2018,corn,4,Cashido ,12,165,12,South_North
31/08/2018,corn,5,Tap ,13,175,12,South_North
31/08/2018,corn,5,Solari ,14,153,12,South_North
31/08/2018,corn,5,Cashido ,15,132,13,South_North
31/08/2018,corn,6,Solari ,16,139,13,North_South
31/08/2018,corn,6,Tap ,17,156,12,North_South
31/08/2018,corn,6,Cashido ,18,151,12,North_South
31/08/2018,corn,7,Solari ,19,153,13,North_South
31/08/2018,corn,7,Tap ,20,153,11,North_South
31/08/2018,corn,7,Cashido ,21,154,12,North_South
31/08/2018,corn,8,Solari ,22,155,11,North_South
31/08/2018,corn,8,Tap ,23,170,11,North_South
31/08/2018,corn,8,Cashido ,24,159,11,North_South
31/08/2018,corn,9,Solari ,25,160,12,North_South
31/08/2018,corn,9,Tap ,26,159,12,North_South
31/08/2018,corn,9,Cashido ,27,169,12,North_South
31/08/2018,corn,10,Solari ,28,173,12,North_South
31/08/2018,corn,10,Tap ,29,152,11,North_South
31/08/2018,corn,10,Cashido ,30,143,10,North_South
23/07/2018,cotton,1,Tap,31,10.5,4,North_South
23/07/2018,cotton,1,Solari,32,11,4,North_South
23/07/2018,cotton,1,Cashido,33,9,4,North_South
23/07/2018,cotton,2,Tap,34,10,4,North_South
23/07/2018,cotton,2,Solari,35,10,4,North_South
23/07/2018,cotton,2,Cashido,36,9,4,North_South
23/07/2018,cotton,3,Tap,37,9,5,North_South
23/07/2018,cotton,3,Solari,38,10,4,North_South
23/07/2018,cotton,3,Cashido,39,12,4,North_South
23/07/2018,cotton,4,Tap,40,11,4,North_South
23/07/2018,cotton,4,Solari,41,10,4,North_South
23/07/2018,cotton,4,Cashido,42,10,5,North_South
23/07/2018,cotton,5,Tap,43,10,4,North_South
23/07/2018,cotton,5,Solari,44,10,4,North_South
23/07/2018,cotton,5,Cashido,45,8,5,North_South
23/07/2018,cotton,6,Solari,46,11,4,South_North
23/07/2018,cotton,6,Tap,47,11,4,South_North
23/07/2018,cotton,6,Cashido,48,11,4,South_North
23/07/2018,cotton,7,Solari,49,11,5,South_North
23/07/2018,cotton,7,Tap,50,10,5,South_North
23/07/2018,cotton,7,Cashido,51,11,4,South_North
23/07/2018,cotton,8,Solari,52,11,4,South_North
23/07/2018,cotton,8,Tap,53,10,4,South_North
23/07/2018,cotton,8,Cashido,54,10,4,South_North
23/07/2018,cotton,9,Solari,55,12,5,South_North
23/07/2018,cotton,9,Tap,56,10,4,South_North
23/07/2018,cotton,9,Cashido,57,11,4,South_North
23/07/2018,cotton,10,Solari,58,10,4,South_North
23/07/2018,cotton,10,Tap,59,10,4,South_North
23/07/2018,cotton,10,Cashido,60,4,3,South_North
27/07/2018,cotton,1,Tap,31,12,6,North_South
27/07/2018,cotton,1,Solari,32,12,6,North_South
27/07/2018,cotton,1,Cashido,33,12,6,North_South
27/07/2018,cotton,2,Tap,34,12,6,North_South
27/07/2018,cotton,2,Solari,35,12,6,North_South
27/07/2018,cotton,2,Cashido,36,13,6,North_South
27/07/2018,cotton,3,Tap,37,11,6,North_South
27/07/2018,cotton,3,Solari,38,10,6,North_South
27/07/2018,cotton,3,Cashido,39,12,6,North_South
27/07/2018,cotton,4,Tap,40,13,6,North_South
27/07/2018,cotton,4,Solari,41,13,6,North_South
27/07/2018,cotton,4,Cashido,42,11,6,North_South
27/07/2018,cotton,5,Tap,43,12,6,North_South
27/07/2018,cotton,5,Solari,44,11,6,North_South
